instance,n,prob,num_type,value
15-31,20,0.3,orig_minAB_obj,3255
15-31,20,0.3,orig_simpl_obj,4014
16-0,20,0.3,orig_minAB_obj,3412
16-0,20,0.3,orig_simpl_obj,3244
16-1,20,0.3,orig_minAB_obj,3193
16-1,20,0.3,orig_simpl_obj,3922
16-2,20,0.3,orig_minAB_obj,2710
16-2,20,0.3,orig_simpl_obj,2824
16-3,20,0.3,orig_minAB_obj,3163
16-3,20,0.3,orig_simpl_obj,3344
16-4,20,0.3,orig_minAB_obj,1732
16-4,20,0.3,orig_simpl_obj,2083
16-5,20,0.3,orig_minAB_obj,2944
16-5,20,0.3,orig_simpl_obj,4713
16-6,20,0.3,orig_minAB_obj,2927
16-6,20,0.3,orig_simpl_obj,3585
16-7,20,0.3,orig_minAB_obj,2621
16-7,20,0.3,orig_simpl_obj,3842
16-8,20,0.3,orig_minAB_obj,3201
16-8,20,0.3,orig_simpl_obj,2849
16-9,20,0.3,orig_minAB_obj,3466
16-9,20,0.3,orig_simpl_obj,4181
16-10,20,0.3,orig_minAB_obj,3680
16-10,20,0.3,orig_simpl_obj,4601
16-11,20,0.3,orig_minAB_obj,1605
16-11,20,0.3,orig_simpl_obj,2767
16-12,20,0.3,orig_minAB_obj,3902
16-12,20,0.3,orig_simpl_obj,3720
16-13,20,0.3,orig_minAB_obj,3608
16-13,20,0.3,orig_simpl_obj,3911
16-14,20,0.3,orig_minAB_obj,3131
16-14,20,0.3,orig_simpl_obj,3707
16-15,20,0.3,orig_minAB_obj,3531
16-15,20,0.3,orig_simpl_obj,3364
16-16,20,0.3,orig_minAB_obj,2762
16-16,20,0.3,orig_simpl_obj,3082
16-17,20,0.3,orig_minAB_obj,3085
16-17,20,0.3,orig_simpl_obj,2735
16-18,20,0.3,orig_minAB_obj,3398
16-18,20,0.3,orig_simpl_obj,3969
16-19,20,0.3,orig_minAB_obj,2775
16-19,20,0.3,orig_simpl_obj,3116
16-20,20,0.3,orig_minAB_obj,2455
16-20,20,0.3,orig_simpl_obj,2989
16-21,20,0.3,orig_minAB_obj,2482
