instance,inversions,reducedA,reducedB,gen_trial
632,44,True,True,1
633,50,True,True,1
634,57,True,True,1
635,46,True,True,1
636,54,True,True,1
637,44,True,True,1
638,32,True,True,1
639,42,True,True,1
640,47,True,True,1
641,52,True,True,1
642,56,True,True,1
643,57,True,True,1
644,53,True,True,1
645,42,True,True,1
646,48,True,True,1
647,55,True,True,1
648,54,True,True,1
649,40,True,True,1
650,60,True,True,1
651,35,True,True,1
652,50,True,True,1
653,52,True,True,1
654,49,True,True,1
655,56,True,True,1
656,61,True,True,1
657,37,True,True,1
658,37,True,True,1
659,52,True,True,1
660,49,True,True,1
661,63,True,True,1
662,45,True,True,1
663,42,True,True,1
664,40,True,True,1
665,61,True,True,1
666,60,True,True,1
667,52,True,True,1
668,63,True,True,1
669,38,True,True,1
670,55,True,True,1
671,53,True,True,1
672,42,True,True,1
673,38,True,True,1
674,45,True,True,1
675,58,True,True,1
676,52,True,True,1
677,49,True,True,1
678,57,True,True,1
679,52,True,True,1
680,43,True,True,1
681,58,True,True,1
682,78,True,True,1
683,53,True,True,1
684,56,True,True,1
685,45,True,True,1
686,63,True,True,1
687,54,True,True,1
688,47,True,True,1
689,33,True,True,1
690,54,True,True,1
691,49,True,True,1
692,45,True,True,1
693,50,True,True,1
694,50,True,True,1
695,66,True,True,1
696,68,True,True,1
697,60,True,True,1
698,56,True,True,1
699,42,True,True,1
700,47,True,True,1
701,45,True,True,1
702,59,True,True,1
703,48,True,True,1
704,36,True,True,1
705,47,True,True,1
706,41,True,True,1
707,50,True,True,1
708,48,True,True,1
709,57,True,True,1
710,56,True,True,1
711,39,True,True,1
712,53,True,True,1
713,39,True,True,1
714,69,True,True,1
715,43,True,True,1
716,50,True,True,1
717,70,True,True,1
718,34,True,True,1
719,59,True,True,1
720,46,True,True,1
721,63,True,True,1
722,64,True,True,1
723,55,True,True,1
724,29,True,True,1
725,67,True,True,1
726,61,True,True,1
727,57,True,True,1
728,47,True,True,1
729,62,True,True,1
730,45,True,True,1
731,37,True,True,1
732,47,True,True,1
733,52,True,True,1
734,46,True,True,1
735,66,True,True,1
736,64,True,True,1
737,45,True,True,1
738,59,True,True,1
739,44,True,True,1
740,57,True,True,1
741,47,True,True,1
742,58,True,True,1
743,54,True,True,1
744,60,True,True,1
745,60,True,True,1
746,52,True,True,1
747,42,True,True,1
748,71,True,True,1
749,58,True,True,1
750,43,True,True,1
751,54,True,True,1
752,68,True,True,1
753,59,True,True,1
754,58,True,True,1
755,54,True,True,1
756,63,True,True,1
757,42,True,True,1
758,66,True,True,1
759,61,True,True,1
760,43,True,True,1
761,47,True,True,1
762,65,True,True,1
763,42,True,True,1
764,62,True,True,1
765,60,True,True,1
766,52,True,True,1
767,53,True,True,1
768,54,True,True,1
769,27,True,True,1
770,56,True,True,1
771,42,True,True,1
772,63,True,True,1
773,51,True,True,1
774,63,True,True,1
775,76,True,True,1
776,42,True,True,1
777,57,True,True,1
778,51,True,True,1
779,39,True,True,1
780,81,True,True,1
781,43,True,True,1
782,33,True,True,1
783,49,True,True,1
784,43,True,True,1
785,41,True,True,1
786,47,True,True,1
787,52,True,True,1
788,47,True,True,1
789,51,True,True,1
