exp_num, n, M, L, K_types, kmax, gen_iters, objU, objT, tUMIP, tUDD, tTMIP, tTDD
49, 7, 10, 0.45, 3, 3, 1, -81.40, -75.00, 6.38, 2.31, 6.72, 2.33
50, 7, 10, 0.45, 3, 3, 2, -59.88, -56.09, 2.34, 1.81, 3.34, 1.63
51, 7, 10, 0.45, 3, 3, 1, -54.26, -51.07, 11.58, 2.72, 6.15, 2.96
52, 7, 10, 0.45, 3, 3, 1, -76.38, -73.98, 3.05, 2.50, 4.33, 2.62
53, 7, 10, 0.45, 3, 3, 2, -46.96, -44.74, 12.97, 4.67, 14.04, 2.88
54, 7, 10, 0.45, 3, 3, 1, -86.61, -84.71, 2.56, 2.36, 6.48, 2.58
55, 7, 10, 0.45, 3, 3, 1, -74.55, -65.75, 7.91, 2.54, 9.44, 2.58
56, 7, 10, 0.45, 3, 3, 1, -70.35, -67.33, 2.11, 2.49, 2.52, 2.28
57, 7, 10, 0.45, 3, 3, 1, -86.35, -82.33, 3.99, 2.71, 6.02, 2.72
58, 7, 10, 0.45, 3, 3, 1, -57.78, -48.61, 7.71, 2.19, 7.76, 2.15
59, 7, 10, 0.45, 3, 3, 2, -83.95, -82.16, 2.84, 2.41, 3.17, 2.39
60, 7, 10, 0.45, 3, 3, 3, -62.54, -50.97, 13.53, 2.02, 20.70, 2.12
61, 7, 10, 0.45, 3, 3, 2, -71.17, -52.28, 9.42, 2.86, 37.81, 2.76
62, 7, 10, 0.45, 3, 3, 1, -49.80, -40.29, 7.77, 2.84, 13.37, 2.74
63, 7, 10, 0.45, 3, 3, 1, -46.03, -44.72, 4.60, 2.25, 5.49, 2.26
64, 7, 10, 0.45, 3, 3, 2, -76.37, -74.76, 13.22, 2.63, 10.36, 2.67
65, 7, 10, 0.45, 3, 3, 2, -78.87, -72.32, 2.62, 2.57, 5.68, 2.60
66, 7, 10, 0.45, 3, 3, 2, -91.35, -86.16, 3.68, 2.45, 6.91, 2.48
67, 7, 10, 0.45, 3, 3, 2, -65.93, -63.80, 6.11, 2.78, 8.99, 2.64
68, 7, 10, 0.45, 3, 3, 1, -83.67, -81.20, 2.46, 2.77, 1.97, 2.76
69, 7, 10, 0.45, 3, 3, 2, -69.02, -67.82, 8.89, 3.61, 11.87, 3.45
70, 7, 10, 0.45, 3, 3, 1, -76.60, -69.71, 6.31, 2.30, 8.97, 2.33
71, 7, 10, 0.45, 3, 3, 1, -100.39, -89.71, 5.46, 2.61, 5.50, 2.61
72, 7, 10, 0.45, 3, 3, 1, -86.04, -82.39, 2.99, 1.83, 4.09, 1.84
73, 7, 10, 0.45, 3, 3, 1, -66.60, -63.14, 12.42, 2.58, 8.62, 2.50
74, 7, 10, 0.45, 3, 3, 2, -89.56, -86.30, 4.13, 1.82, 7.29, 1.79
75, 7, 10, 0.45, 3, 3, 5, -75.00, -71.29, 8.59, 2.26, 8.25, 2.22
76, 7, 10, 0.45, 3, 3, 2, -99.21, -92.39, 5.95, 1.78, 2.69, 1.85
77, 7, 10, 0.45, 3, 3, 3, -45.56, -42.32, 4.66, 2.45, 3.57, 2.46
78, 7, 10, 0.45, 3, 3, 2, -58.97, -51.14, 3.46, 2.79, 10.72, 2.69
79, 7, 10, 0.45, 3, 3, 1, -76.05, -70.02, 3.96, 2.90, 8.15, 2.67
80, 7, 10, 0.45, 3, 3, 1, -79.11, -70.83, 2.55, 2.07, 3.67, 2.20
81, 7, 10, 0.45, 3, 3, 1, -73.76, -71.07, 6.88, 2.57, 25.96, 2.73
82, 7, 10, 0.45, 3, 3, 1, -68.29, -65.48, 7.68, 2.70, 9.74, 2.98
83, 7, 10, 0.45, 3, 3, 1, -58.25, -49.17, 3.76, 3.06, 4.00, 2.95
84, 7, 10, 0.45, 3, 3, 1, -90.95, -79.48, 2.77, 2.52, 4.62, 2.38
85, 7, 10, 0.45, 3, 3, 1, -103.58, -102.19, 2.62, 2.12, 3.80, 2.13
86, 7, 10, 0.45, 3, 3, 4, -82.66, -69.43, 4.62, 2.11, 9.45, 2.09
87, 7, 10, 0.45, 3, 3, 1, -88.30, -83.50, 4.52, 2.57, 5.77, 2.53
88, 7, 10, 0.45, 3, 3, 1, -71.47, -67.53, 2.68, 2.91, 5.58, 2.68
89, 7, 10, 0.45, 3, 3, 2, -74.36, -70.07, 3.83, 2.52, 7.06, 2.62
90, 7, 10, 0.45, 3, 3, 1, -70.50, -61.25, 4.90, 1.96, 5.22, 1.98
91, 7, 10, 0.45, 3, 3, 1, -55.12, -51.43, 8.69, 2.95, 8.70, 2.98
92, 7, 10, 0.45, 3, 3, 1, -65.58, -62.82, 9.23, 2.12, 8.37, 2.14
93, 7, 10, 0.45, 3, 3, 1, -86.16, -84.31, 11.44, 2.40, 13.83, 2.43
94, 7, 10, 0.45, 3, 3, 5, -69.63, -62.42, 4.94, 2.13, 7.47, 2.16
95, 7, 10, 0.45, 3, 3, 1, -72.46, -63.61, 3.13, 2.23, 5.44, 2.25
96, 7, 10, 0.45, 3, 3, 1, -80.75, -77.61, 2.87, 1.92, 6.45, 1.95
97, 7, 10, 0.45, 3, 3, 4, -90.17, -85.00, 2.48, 2.25, 3.82, 2.11
98, 7, 10, 0.45, 3, 3, 1, -89.41, -81.99, 6.25, 1.99, 8.41, 2.23
99, 7, 10, 0.45, 3, 3, 1, -80.73, -71.17, 2.51, 1.95, 4.46, 1.97
100, 7, 10, 0.45, 3, 3, 1, -72.44, -70.87, 19.44, 2.38, 15.30, 2.42
101, 7, 10, 0.45, 3, 3, 2, -68.67, -61.72, 3.95, 2.22, 8.42, 2.20
102, 7, 10, 0.45, 3, 3, 1, -88.97, -85.60, 8.14, 1.93, 6.68, 2.00
103, 7, 10, 0.45, 3, 3, 1, -83.98, -78.48, 9.19, 2.73, 10.67, 2.73
104, 7, 10, 0.45, 3, 3, 1, -72.15, -68.50, 4.19, 2.59, 6.18, 2.61
105, 7, 10, 0.45, 3, 3, 2, -91.28, -84.98, 8.10, 2.55, 4.24, 2.49
106, 7, 10, 0.45, 3, 3, 3, -85.56, -82.86, 4.03, 2.51, 7.06, 2.47
107, 7, 10, 0.45, 3, 3, 1, -76.04, -71.38, 6.95, 2.60, 6.98, 2.55
108, 7, 10, 0.45, 3, 3, 1, -89.98, -85.70, 8.62, 3.05, 7.30, 3.16
109, 7, 10, 0.45, 3, 3, 4, -79.15, -77.87, 5.20, 2.58, 5.91, 2.73
110, 7, 10, 0.45, 3, 3, 2, -80.87, -74.04, 2.84, 2.44, 3.21, 2.51
