run,k,n,method,step,time
test,49,20,CPP,VS-build+solve,40.7
test,49,20,CPP,BDD-align-to-vs,122.7
test,49,20,CPP,intersection-build,7.5
test,49,20,CPP,intersection-SP-solve,1.9
test,50,20,gen_instance,all, 16.2
test,50,20,plain_MIP,build+solve,3.2
test,50,20,CPP,BDD-build,125.4
test,50,20,CPP,MIP-build,19.5
test,50,20,CPP,MIP-solve,14.4
test,50,20,CPP,VS-build+solve,65.3
test,50,20,CPP,BDD-align-to-vs,76.7
test,50,20,CPP,intersection-build,5.8
test,50,20,CPP,intersection-SP-solve,1.3
test,51,20,gen_instance,all, 10.0
test,51,20,plain_MIP,build+solve,3.8
test,51,20,CPP,BDD-build,152.5
test,51,20,CPP,MIP-build,22.0
test,51,20,CPP,MIP-solve,18.3
test,51,20,CPP,VS-build+solve,15.2
test,51,20,CPP,BDD-align-to-vs,134.4
test,51,20,CPP,intersection-build,46.1
test,51,20,CPP,intersection-SP-solve,1.5
test,52,20,gen_instance,all, 9.4
test,52,20,plain_MIP,build+solve,3.0
test,52,20,CPP,BDD-build,75.5
test,52,20,CPP,MIP-build,12.5
test,52,20,CPP,MIP-solve,8.1
test,52,20,CPP,VS-build+solve,80.3
test,52,20,CPP,BDD-align-to-vs,71.0
test,52,20,CPP,intersection-build,6.4
test,52,20,CPP,intersection-SP-solve,1.2
test,53,20,gen_instance,all, 6.7
test,53,20,plain_MIP,build+solve,0.7
test,53,20,CPP,BDD-build,123.1
test,53,20,CPP,MIP-build,21.5
test,53,20,CPP,MIP-solve,12.1
test,53,20,CPP,VS-build+solve,32.6
test,53,20,CPP,BDD-align-to-vs,139.9
test,53,20,CPP,intersection-build,6.0
test,53,20,CPP,intersection-SP-solve,0.6
test,54,20,gen_instance,all, 10.0
test,54,20,plain_MIP,build+solve,3.3
test,54,20,CPP,BDD-build,180.2
test,54,20,CPP,MIP-build,23.7
test,54,20,CPP,MIP-solve,17.4
test,54,20,CPP,VS-build+solve,45.4
test,54,20,CPP,BDD-align-to-vs,87.1
test,54,20,CPP,intersection-build,6.6
test,54,20,CPP,intersection-SP-solve,1.7
test,55,20,gen_instance,all, 9.5
test,55,20,plain_MIP,build+solve,3.1
test,55,20,CPP,BDD-build,185.6
test,55,20,CPP,MIP-build,25.3
test,55,20,CPP,MIP-solve,14.4
test,55,20,CPP,VS-build+solve,31.7
test,55,20,CPP,BDD-align-to-vs,110.0
test,55,20,CPP,intersection-build,7.5
test,55,20,CPP,intersection-SP-solve,1.4
test,56,20,gen_instance,all, 8.3
test,56,20,plain_MIP,build+solve,2.3
test,56,20,CPP,BDD-build,107.5
test,56,20,CPP,MIP-build,19.9
test,56,20,CPP,MIP-solve,13.3
test,56,20,CPP,VS-build+solve,49.3
test,56,20,CPP,BDD-align-to-vs,58.6
test,56,20,CPP,intersection-build,11.5
test,56,20,CPP,intersection-SP-solve,2.8
test,57,20,gen_instance,all, 8.0
test,57,20,plain_MIP,build+solve,1.8
test,57,20,CPP,BDD-build,65.0
test,57,20,CPP,MIP-build,9.6
test,57,20,CPP,MIP-solve,5.8
test,57,20,CPP,VS-build+solve,46.3
test,57,20,CPP,BDD-align-to-vs,84.3
test,57,20,CPP,intersection-build,5.4
test,57,20,CPP,intersection-SP-solve,0.7
test,58,20,gen_instance,all, 7.6
test,58,20,plain_MIP,build+solve,1.2
test,58,20,CPP,BDD-build,81.3
test,58,20,CPP,MIP-build,51.0
test,58,20,CPP,MIP-solve,9.1
test,58,20,CPP,VS-build+solve,108.5
test,58,20,CPP,BDD-align-to-vs,86.8
test,58,20,CPP,intersection-build,4.8
test,58,20,CPP,intersection-SP-solve,0.9
test,59,20,gen_instance,all, 7.9
test,59,20,plain_MIP,build+solve,1.7
test,59,20,CPP,BDD-build,76.2
test,59,20,CPP,MIP-build,12.3
test,59,20,CPP,MIP-solve,7.4
test,59,20,CPP,VS-build+solve,32.0
test,59,20,CPP,BDD-align-to-vs,82.6
test,59,20,CPP,intersection-build,4.2
test,59,20,CPP,intersection-SP-solve,0.5
test,60,20,gen_instance,all, 9.3
test,60,20,plain_MIP,build+solve,3.1
test,60,20,CPP,BDD-build,287.4
test,60,20,CPP,MIP-build,38.1
test,60,20,CPP,MIP-solve,26.9
test,60,20,CPP,VS-build+solve,16.9
test,60,20,CPP,BDD-align-to-vs,115.4
test,60,20,CPP,intersection-build,13.6
test,60,20,CPP,intersection-SP-solve,3.6
test,61,20,gen_instance,all, 10.0
test,61,20,plain_MIP,build+solve,3.7
test,61,20,CPP,BDD-build,187.6
test,61,20,CPP,MIP-build,22.7
test,61,20,CPP,MIP-solve,16.9
test,61,20,CPP,VS-build+solve,29.7
test,61,20,CPP,BDD-align-to-vs,66.0
test,61,20,CPP,intersection-build,8.8
test,61,20,CPP,intersection-SP-solve,1.5
test,62,20,gen_instance,all, 7.1
test,62,20,plain_MIP,build+solve,0.8
test,62,20,CPP,BDD-build,121.8
test,62,20,CPP,MIP-build,22.2
test,62,20,CPP,MIP-solve,17.2
test,62,20,CPP,VS-build+solve,24.4
test,62,20,CPP,BDD-align-to-vs,94.4
test,62,20,CPP,intersection-build,6.5
test,62,20,CPP,intersection-SP-solve,0.7
test,63,20,gen_instance,all, 8.1
test,63,20,plain_MIP,build+solve,1.7
test,63,20,CPP,BDD-build,138.6
test,63,20,CPP,MIP-build,25.6
test,63,20,CPP,MIP-solve,14.9
test,63,20,CPP,VS-build+solve,117.8
test,63,20,CPP,BDD-align-to-vs,146.0
test,63,20,CPP,intersection-build,7.9
test,63,20,CPP,intersection-SP-solve,1.8
