instance,num_type,step,LB,UB,comment
77,steplog,10,234,360,--none--
77,steplog,20,310,328,--none--
77,steplog,29,328,328,status:optimal
77,timelog,29,0.16262125968933105,0,--none--
78,steplog,10,142,238,--none--
78,steplog,20,142,234,--none--
78,steplog,30,179,231,--none--
78,steplog,40,191,212,--none--
78,steplog,50,208,208,--none--
78,steplog,54,208,208,status:optimal
78,timelog,54,0.2962925434112549,0,--none--
79,steplog,10,85,109,--none--
79,steplog,20,85,108,--none--
79,steplog,30,93,107,--none--
79,steplog,40,105,106,--none--
79,steplog,45,106,106,status:optimal
79,timelog,45,0.2524850368499756,0,--none--
7,steplog,10,169,362,--none--
7,steplog,20,211,269,--none--
7,steplog,30,211,269,--none--
7,steplog,40,239,261,--none--
7,steplog,50,261,261,--none--
7,steplog,54,261,261,status:optimal
7,timelog,54,0.24634599685668945,0,--none--
80,steplog,10,82,122,--none--
80,steplog,20,82,121,--none--
80,steplog,30,82,120,--none--
80,steplog,40,88,119,--none--
80,steplog,50,98,117,--none--
80,steplog,60,105,117,--none--
80,steplog,70,108,116,--none--
80,steplog,80,113,114,--none--
80,steplog,83,114,114,status:optimal
80,timelog,83,0.4990198612213135,0,--none--
81,steplog,10,85,103,--none--
81,steplog,20,97,102,--none--
81,steplog,25,98,98,status:optimal
81,timelog,25,0.11752080917358398,0,--none--
82,steplog,10,272,439,--none--
82,steplog,20,303,373,--none--
82,steplog,30,349,367,--none--
82,steplog,40,367,367,--none--
82,steplog,42,367,367,status:optimal
82,timelog,42,0.2216808795928955,0,--none--
83,steplog,10,161,224,--none--
83,steplog,20,161,219,--none--
83,steplog,30,161,207,--none--
83,steplog,40,179,207,--none--
83,steplog,50,179,207,--none--
83,steplog,60,195,207,--none--
83,steplog,67,207,207,status:optimal
83,timelog,67,0.4079093933105469,0,--none--
84,steplog,10,147,252,--none--
84,steplog,20,210,252,--none--
84,steplog,30,250,250,--none--
84,steplog,32,250,250,status:optimal
84,timelog,32,0.1691758632659912,0,--none--
85,steplog,10,111,197,--none--
85,steplog,20,131,197,--none--
85,steplog,30,131,191,--none--
85,steplog,40,147,179,--none--
85,steplog,50,172,172,--none--
85,steplog,54,172,172,status:optimal
85,timelog,54,0.248274564743042,0,--none--
86,steplog,10,160,167,--none--
86,steplog,19,166,166,status:optimal
86,timelog,19,0.0859823226928711,0,--none--
87,steplog,10,171,286,--none--
87,steplog,20,171,264,--none--
87,steplog,30,199,247,--none--
87,steplog,40,199,247,--none--
87,steplog,50,233,239,--none--
87,steplog,54,239,239,status:optimal
87,timelog,54,0.22192597389221191,0,--none--
88,steplog,10,56,95,--none--
88,steplog,20,65,88,--none--
88,steplog,30,79,79,--none--
88,steplog,31,79,79,status:optimal
88,timelog,31,0.10288882255554199,0,--none--
89,steplog,10,178,284,--none--
89,steplog,20,204,260,--none--
89,steplog,30,242,244,--none--
