instance,num_type,step,LB,UB,comment
1079,steplog,30,1943,1978,--none--
1079,steplog,40,1963,1978,--none--
1079,steplog,50,1976,1978,--none--
1079,steplog,53,1978,1978,status:optimal
1079,timelog,53,0.10486555099487305,0,--none--
107,steplog,10,3070,3191,--none--
107,steplog,20,3165,3183,--none--
107,steplog,25,3183,3183,status:optimal
107,timelog,25,0.058126211166381836,0,--none--
1080,steplog,10,844,1079,--none--
1080,steplog,20,974,988,--none--
1080,steplog,26,988,988,status:optimal
1080,timelog,26,0.057936668395996094,0,--none--
1081,steplog,10,1312,1519,--none--
1081,steplog,20,1448,1452,--none--
1081,steplog,22,1452,1452,status:optimal
1081,timelog,22,0.04831266403198242,0,--none--
1082,steplog,10,949,1028,--none--
1082,steplog,20,983,984,--none--
1082,steplog,21,984,984,status:optimal
1082,timelog,21,0.0469205379486084,0,--none--
1083,steplog,10,1064,1213,--none--
1083,steplog,20,1145,1181,--none--
1083,steplog,27,1181,1181,status:optimal
1083,timelog,27,0.06106066703796387,0,--none--
1084,steplog,10,1038,1148,--none--
1084,steplog,20,1111,1127,--none--
1084,steplog,28,1116,1116,status:optimal
1084,timelog,28,0.06504583358764648,0,--none--
1085,steplog,10,1951,2063,--none--
1085,steplog,20,2033,2035,--none--
1085,steplog,21,2035,2035,status:optimal
1085,timelog,21,0.041576385498046875,0,--none--
1086,steplog,10,533,630,--none--
1086,steplog,20,589,616,--none--
1086,steplog,30,604,616,--none--
1086,steplog,40,612,613,--none--
1086,steplog,44,613,613,status:optimal
1086,timelog,44,0.08872723579406738,0,--none--
1087,steplog,10,475,589,--none--
1087,steplog,20,517,533,--none--
1087,steplog,30,529,530,--none--
1087,steplog,30,530,530,status:optimal
1087,timelog,30,0.0654902458190918,0,--none--
1088,steplog,10,380,418,--none--
1088,steplog,20,404,409,--none--
1088,steplog,25,408,408,status:optimal
1088,timelog,25,0.05618691444396973,0,--none--
1089,steplog,10,480,602,--none--
1089,steplog,20,508,582,--none--
1089,steplog,30,521,550,--none--
1089,steplog,40,532,550,--none--
1089,steplog,50,538,550,--none--
1089,steplog,60,546,548,--none--
1089,steplog,66,548,548,status:optimal
1089,timelog,66,0.14832210540771484,0,--none--
108,steplog,10,1666,1892,--none--
108,steplog,20,1810,1888,--none--
108,steplog,30,1859,1876,--none--
108,steplog,40,1875,1876,--none--
108,steplog,40,1876,1876,status:optimal
108,timelog,40,0.08104729652404785,0,--none--
1090,steplog,10,3211,3491,--none--
1090,steplog,20,3336,3451,--none--
1090,steplog,30,3370,3438,--none--
1090,steplog,40,3390,3438,--none--
1090,steplog,50,3409,3433,--none--
1090,steplog,60,3418,3433,--none--
1090,steplog,70,3427,3431,--none--
1090,steplog,76,3431,3431,status:optimal
1090,timelog,76,0.14882397651672363,0,--none--
1091,steplog,10,1148,1336,--none--
1091,steplog,20,1281,1304,--none--
1091,steplog,30,1300,1302,--none--
1091,steplog,30,1302,1302,status:optimal
1091,timelog,30,0.06438398361206055,0,--none--
1092,steplog,10,683,720,--none--
1092,steplog,20,709,719,--none--
1092,steplog,30,715,719,--none--
1092,steplog,37,718,718,status:optimal
1092,timelog,37,0.0736548900604248,0,--none--
1093,steplog,10,648,753,--none--
1093,steplog,20,678,715,--none--
1093,steplog,30,696,712,--none--
1093,steplog,40,708,712,--none--
1093,steplog,45,711,711,status:optimal
1093,timelog,45,0.09517383575439453,0,--none--
1094,steplog,10,1958,2050,--none--
1094,steplog,18,2024,2024,status:optimal
1094,timelog,18,0.042024850845336914,0,--none--
1095,steplog,10,588,1049,--none--
1095,steplog,20,635,766,--none--
1095,steplog,30,673,708,--none--
1095,steplog,40,685,692,--none--
1095,steplog,45,691,691,status:optimal
1095,timelog,45,0.11401200294494629,0,--none--
1096,steplog,10,1313,1476,--none--
1096,steplog,20,1427,1476,--none--
1096,steplog,26,1453,1453,status:optimal
1096,timelog,26,0.05636310577392578,0,--none--
1097,steplog,10,892,1017,--none--
1097,steplog,20,959,997,--none--
1097,steplog,30,983,997,--none--
1097,steplog,36,991,991,status:optimal
1097,timelog,36,0.0690007209777832,0,--none--
1098,steplog,10,1834,2143,--none--
1098,steplog,20,2087,2105,--none--
1098,steplog,29,2104,2104,status:optimal
1098,timelog,29,0.059679508209228516,0,--none--
1099,steplog,10,2025,2286,--none--
1099,steplog,20,2128,2186,--none--
1099,steplog,30,2166,2186,--none--
1099,steplog,34,2179,2179,status:optimal
1099,timelog,34,0.07985424995422363,0,--none--
109,steplog,10,854,917,--none--
109,steplog,20,899,906,--none--
109,steplog,23,906,906,status:optimal
109,timelog,23,0.0479578971862793,0,--none--
10,steplog,10,1182,1300,--none--
10,steplog,20,1278,1296,--none--
10,steplog,29,1293,1293,status:optimal
10,timelog,29,0.06518340110778809,0,--none--
1100,steplog,10,997,1250,--none--
1100,steplog,20,1064,1132,--none--
1100,steplog,30,1086,1096,--none--
1100,steplog,40,1093,1096,--none--
1100,steplog,47,1096,1096,status:optimal
1100,timelog,47,0.10662174224853516,0,--none--
1101,steplog,10,1052,1094,--none--
1101,steplog,17,1075,1075,status:optimal
1101,timelog,17,0.03955888748168945,0,--none--
1102,steplog,10,2517,2677,--none--
1102,steplog,20,2620,2677,--none--
1102,steplog,30,2663,2672,--none--
1102,steplog,35,2672,2672,status:optimal
1102,timelog,35,0.0753939151763916,0,--none--
1103,steplog,10,993,1172,--none--
1103,steplog,20,1041,1090,--none--
1103,steplog,30,1077,1080,--none--
1103,steplog,32,1079,1079,status:optimal
1103,timelog,32,0.0718686580657959,0,--none--
1104,steplog,10,870,988,--none--
1104,steplog,20,930,942,--none--
1104,steplog,30,940,941,--none--
1104,steplog,30,941,941,status:optimal
1104,timelog,30,0.06458616256713867,0,--none--
1105,steplog,10,1997,2128,--none--
1105,steplog,20,2067,2128,--none--
1105,steplog,30,2112,2128,--none--
1105,steplog,34,2117,2117,status:optimal
1105,timelog,34,0.07540178298950195,0,--none--
1106,steplog,10,1509,1664,--none--
1106,steplog,20,1557,1630,--none--
1106,steplog,30,1586,1630,--none--
1106,steplog,40,1604,1628,--none--
1106,steplog,50,1616,1628,--none--
1106,steplog,59,1628,1628,status:optimal
1106,timelog,59,0.12496042251586914,0,--none--
1107,steplog,10,1780,1885,--none--
1107,steplog,20,1854,1881,--none--
1107,steplog,30,1867,1872,--none--
1107,steplog,40,1871,1871,--none--
1107,steplog,40,1871,1871,status:optimal
1107,timelog,40,0.1392972469329834,0,--none--
1108,steplog,10,921,1013,--none--
1108,steplog,20,983,990,--none--
1108,steplog,26,990,990,status:optimal
1108,timelog,26,0.05952048301696777,0,--none--
1109,steplog,10,1351,1473,--none--
1109,steplog,20,1415,1439,--none--
1109,steplog,30,1438,1439,--none--
1109,steplog,30,1439,1439,status:optimal
1109,timelog,30,0.06400179862976074,0,--none--
110,steplog,10,345,352,--none--
110,steplog,15,351,351,status:optimal
110,timelog,15,0.03177022933959961,0,--none--
1110,steplog,10,869,1272,--none--
1110,steplog,20,903,1272,--none--
1110,steplog,30,953,1101,--none--
1110,steplog,40,986,1101,--none--
1110,steplog,50,1028,1075,--none--
1110,steplog,60,1047,1071,--none--
1110,steplog,70,1060,1071,--none--
1110,steplog,80,1066,1071,--none--
1110,steplog,90,1070,1071,--none--
