run,k,n,method,step,time
test,41,5,CPP,MIP-build,1.9
test,41,5,CPP,MIP-solve,0.4
test,41,5,CPP,VS-build+solve,0.5
test,41,5,CPP,BDD-align-to-vs,1.3
test,41,5,CPP,intersection-build,0.1
test,41,5,CPP,intersection-SP-solve,0.0
test,41,5,CPP,BDD-align-gsifts,11.5
test,41,5,CPP,intersection-gsifts-build,0.1
test,41,5,CPP,intersection-gsifts-SP-solve,0.0
test,42,5,gen_instance,all, 2.0
test,42,5,plain_MIP,build+solve,0.5
test,42,5,CPP,BDD-build,2.8
test,42,5,CPP,MIP-build,1.4
test,42,5,CPP,MIP-solve,0.5
test,42,5,CPP,VS-build+solve,2.5
test,42,5,CPP,BDD-align-to-vs,1.5
test,42,5,CPP,intersection-build,0.1
test,42,5,CPP,intersection-SP-solve,0.0
test,42,5,CPP,BDD-align-gsifts,11.6
test,42,5,CPP,intersection-gsifts-build,0.1
test,42,5,CPP,intersection-gsifts-SP-solve,0.0
test,43,5,gen_instance,all, 1.9
test,43,5,plain_MIP,build+solve,0.5
test,43,5,CPP,BDD-build,3.2
test,43,5,CPP,MIP-build,1.5
test,43,5,CPP,MIP-solve,0.2
test,43,5,CPP,VS-build+solve,0.4
test,43,5,CPP,BDD-align-to-vs,1.5
test,43,5,CPP,intersection-build,0.1
test,43,5,CPP,intersection-SP-solve,0.0
test,43,5,CPP,BDD-align-gsifts,14.7
test,43,5,CPP,intersection-gsifts-build,0.1
test,43,5,CPP,intersection-gsifts-SP-solve,0.0
test,44,5,gen_instance,all, 2.1
test,44,5,plain_MIP,build+solve,0.5
test,44,5,CPP,BDD-build,3.2
test,44,5,CPP,MIP-build,1.3
test,44,5,CPP,MIP-solve,0.4
test,44,5,CPP,VS-build+solve,0.4
test,44,5,CPP,BDD-align-to-vs,1.1
test,44,5,CPP,intersection-build,0.1
test,44,5,CPP,intersection-SP-solve,0.0
test,44,5,CPP,BDD-align-gsifts,12.1
test,44,5,CPP,intersection-gsifts-build,0.2
test,44,5,CPP,intersection-gsifts-SP-solve,0.0
test,45,5,gen_instance,all, 3.1
test,45,5,plain_MIP,build+solve,0.7
test,45,5,CPP,BDD-build,2.9
test,45,5,CPP,MIP-build,1.6
test,45,5,CPP,MIP-solve,0.5
test,45,5,CPP,VS-build+solve,0.4
test,45,5,CPP,BDD-align-to-vs,0.9
test,45,5,CPP,intersection-build,0.1
test,45,5,CPP,intersection-SP-solve,0.0
test,45,5,CPP,BDD-align-gsifts,11.8
test,45,5,CPP,intersection-gsifts-build,0.1
test,45,5,CPP,intersection-gsifts-SP-solve,0.0
test,46,5,gen_instance,all, 1.9
test,46,5,plain_MIP,build+solve,0.6
test,46,5,CPP,BDD-build,2.6
test,46,5,CPP,MIP-build,1.3
test,46,5,CPP,MIP-solve,0.5
test,46,5,CPP,VS-build+solve,0.7
test,46,5,CPP,BDD-align-to-vs,1.9
test,46,5,CPP,intersection-build,0.2
test,46,5,CPP,intersection-SP-solve,0.1
test,46,5,CPP,BDD-align-gsifts,14.6
test,46,5,CPP,intersection-gsifts-build,0.1
test,46,5,CPP,intersection-gsifts-SP-solve,0.0
test,47,5,gen_instance,all, 1.8
test,47,5,plain_MIP,build+solve,0.5
