N,instance,num_type,value,comment
9,1074,orig_gsifts1p_obj,43,--none--
9,1075,simpl_opt_status,0,optimal
9,1075,orig_simpl_time,0.022214412689208984,--none--
9,1075,orig_simpl_obj,64,--none--
9,1075,orig_gsifts1p_time,0.018005847930908203,--none--
9,1075,orig_gsifts1p_obj,53,--none--
9,1076,simpl_opt_status,0,optimal
9,1076,orig_simpl_time,0.032604217529296875,--none--
9,1076,orig_simpl_obj,136,--none--
9,1076,orig_gsifts1p_time,0.04268622398376465,--none--
9,1076,orig_gsifts1p_obj,133,--none--
9,1077,simpl_opt_status,0,optimal
9,1077,orig_simpl_time,0.017601728439331055,--none--
9,1077,orig_simpl_obj,120,--none--
9,1077,orig_gsifts1p_time,0.036458730697631836,--none--
9,1077,orig_gsifts1p_obj,108,--none--
9,1078,simpl_opt_status,0,optimal
9,1078,orig_simpl_time,0.02104043960571289,--none--
9,1078,orig_simpl_obj,125,--none--
9,1078,orig_gsifts1p_time,0.03494691848754883,--none--
9,1078,orig_gsifts1p_obj,102,--none--
9,1079,simpl_opt_status,0,optimal
9,1079,orig_simpl_time,0.022610187530517578,--none--
9,1079,orig_simpl_obj,66,--none--
9,1079,orig_gsifts1p_time,0.021877765655517578,--none--
9,1079,orig_gsifts1p_obj,57,--none--
5,107,simpl_opt_status,0,optimal
5,107,orig_simpl_time,0.005652427673339844,--none--
5,107,orig_simpl_obj,25,--none--
5,107,orig_gsifts1p_time,0.0052340030670166016,--none--
5,107,orig_gsifts1p_obj,22,--none--
9,1080,simpl_opt_status,0,optimal
9,1080,orig_simpl_time,0.027193784713745117,--none--
9,1080,orig_simpl_obj,113,--none--
9,1080,orig_gsifts1p_time,0.03201651573181152,--none--
9,1080,orig_gsifts1p_obj,100,--none--
9,1081,simpl_opt_status,0,optimal
9,1081,orig_simpl_time,0.026129961013793945,--none--
9,1081,orig_simpl_obj,100,--none--
9,1081,orig_gsifts1p_time,0.031780242919921875,--none--
9,1081,orig_gsifts1p_obj,89,--none--
9,1082,simpl_opt_status,0,optimal
9,1082,orig_simpl_time,0.02583146095275879,--none--
9,1082,orig_simpl_obj,119,--none--
9,1082,orig_gsifts1p_time,0.03605246543884277,--none--
9,1082,orig_gsifts1p_obj,117,--none--
9,1083,simpl_opt_status,0,optimal
9,1083,orig_simpl_time,0.016745328903198242,--none--
9,1083,orig_simpl_obj,66,--none--
9,1083,orig_gsifts1p_time,0.02330780029296875,--none--
9,1083,orig_gsifts1p_obj,63,--none--
9,1084,simpl_opt_status,0,optimal
9,1084,orig_simpl_time,0.024365663528442383,--none--
9,1084,orig_simpl_obj,92,--none--
9,1084,orig_gsifts1p_time,0.03429913520812988,--none--
9,1084,orig_gsifts1p_obj,83,--none--
9,1085,simpl_opt_status,0,optimal
9,1085,orig_simpl_time,0.017815828323364258,--none--
9,1085,orig_simpl_obj,82,--none--
9,1085,orig_gsifts1p_time,0.023431777954101562,--none--
9,1085,orig_gsifts1p_obj,57,--none--
9,1086,simpl_opt_status,0,optimal
9,1086,orig_simpl_time,0.022893667221069336,--none--
9,1086,orig_simpl_obj,131,--none--
9,1086,orig_gsifts1p_time,0.0353391170501709,--none--
9,1086,orig_gsifts1p_obj,109,--none--
9,1087,simpl_opt_status,0,optimal
9,1087,orig_simpl_time,0.028833389282226562,--none--
9,1087,orig_simpl_obj,45,--none--
9,1087,orig_gsifts1p_time,0.014581441879272461,--none--
9,1087,orig_gsifts1p_obj,41,--none--
9,1088,simpl_opt_status,0,optimal
9,1088,orig_simpl_time,0.02226710319519043,--none--
9,1088,orig_simpl_obj,91,--none--
9,1088,orig_gsifts1p_time,0.02453136444091797,--none--
9,1088,orig_gsifts1p_obj,66,--none--
9,1089,simpl_opt_status,0,optimal
9,1089,orig_simpl_time,0.02458500862121582,--none--
9,1089,orig_simpl_obj,59,--none--
9,1089,orig_gsifts1p_time,0.018642663955688477,--none--
9,1089,orig_gsifts1p_obj,53,--none--
5,108,simpl_opt_status,0,optimal
5,108,orig_simpl_time,0.005360841751098633,--none--
5,108,orig_simpl_obj,24,--none--
5,108,orig_gsifts1p_time,0.0050356388092041016,--none--
5,108,orig_gsifts1p_obj,22,--none--
9,1090,simpl_opt_status,0,optimal
9,1090,orig_simpl_time,0.01757955551147461,--none--
9,1090,orig_simpl_obj,53,--none--
9,1090,orig_gsifts1p_time,0.015304803848266602,--none--
9,1090,orig_gsifts1p_obj,43,--none--
9,1091,simpl_opt_status,0,optimal
9,1091,orig_simpl_time,0.013768434524536133,--none--
9,1091,orig_simpl_obj,88,--none--
9,1091,orig_gsifts1p_time,0.026073694229125977,--none--
9,1091,orig_gsifts1p_obj,60,--none--
9,1092,simpl_opt_status,0,optimal
9,1092,orig_simpl_time,0.021152734756469727,--none--
9,1092,orig_simpl_obj,100,--none--
9,1092,orig_gsifts1p_time,0.03501415252685547,--none--
9,1092,orig_gsifts1p_obj,96,--none--
9,1093,simpl_opt_status,0,optimal
9,1093,orig_simpl_time,0.024821758270263672,--none--
9,1093,orig_simpl_obj,93,--none--
9,1093,orig_gsifts1p_time,0.02847599983215332,--none--
9,1093,orig_gsifts1p_obj,70,--none--
9,1094,simpl_opt_status,0,optimal
9,1094,orig_simpl_time,0.04144406318664551,--none--
9,1094,orig_simpl_obj,150,--none--
9,1094,orig_gsifts1p_time,0.044550180435180664,--none--
9,1094,orig_gsifts1p_obj,156,--none--
9,1095,simpl_opt_status,0,optimal
9,1095,orig_simpl_time,0.0213162899017334,--none--
9,1095,orig_simpl_obj,133,--none--
9,1095,orig_gsifts1p_time,0.039318084716796875,--none--
9,1095,orig_gsifts1p_obj,119,--none--
9,1096,simpl_opt_status,0,optimal
9,1096,orig_simpl_time,0.0196835994720459,--none--
9,1096,orig_simpl_obj,50,--none--
9,1096,orig_gsifts1p_time,0.015512943267822266,--none--
9,1096,orig_gsifts1p_obj,46,--none--
9,1097,simpl_opt_status,0,optimal
9,1097,orig_simpl_time,0.028365135192871094,--none--
9,1097,orig_simpl_obj,142,--none--
9,1097,orig_gsifts1p_time,0.041919708251953125,--none--
9,1097,orig_gsifts1p_obj,133,--none--
9,1098,simpl_opt_status,0,optimal
9,1098,orig_simpl_time,0.016353368759155273,--none--
9,1098,orig_simpl_obj,93,--none--
9,1098,orig_gsifts1p_time,0.03453803062438965,--none--
9,1098,orig_gsifts1p_obj,92,--none--
