k, VS_status, AB_simscore, no_opts, opts_diam, best_VS_simscore, worst_VS_simscore, exp_time
766, optimal, 40.0, 2, 6.7, 53.3, 53.3, 0.6
767, optimal, 60.0, 15, 93.3, 73.3, 26.7, 0.6
768, optimal, 80.0, 6, 20.0, 93.3, 73.3, 0.5
769, optimal, 60.0, 4, 13.3, 80.0, 66.7, 0.5
770, optimal, 80.0, 1, 0.0, 80.0, 80.0, 0.6
771, optimal, 53.3, 2, 6.7, 73.3, 73.3, 0.7
772, optimal, 46.7, 120, 66.7, 86.7, 20.0, 0.9
773, optimal, 26.7, 2, 6.7, 86.7, 86.7, 0.7
774, optimal, 46.7, 8, 20.0, 86.7, 66.7, 0.4
775, optimal, 66.7, 4, 13.3, 86.7, 80.0, 0.5
776, optimal, 53.3, 2, 6.7, 60.0, 60.0, 0.6
777, optimal, 26.7, 12, 33.3, 73.3, 40.0, 0.7
778, optimal, 60.0, 4, 13.3, 80.0, 73.3, 0.5
779, optimal, 86.7, 2, 6.7, 100.0, 100.0, 0.5
780, optimal, 46.7, 12, 93.3, 100.0, 40.0, 0.6
781, optimal, 60.0, 2, 6.7, 80.0, 80.0, 0.5
782, optimal, 60.0, 10, 40.0, 80.0, 40.0, 0.5
783, optimal, 40.0, 14, 100.0, 86.7, 26.7, 0.5
784, optimal, 46.7, 6, 20.0, 100.0, 80.0, 0.6
785, optimal, 33.3, 12, 26.7, 73.3, 46.7, 0.8
786, optimal, 53.3, 48, 46.7, 80.0, 33.3, 0.7
787, optimal, 40.0, 2, 6.7, 40.0, 40.0, 0.6
788, optimal, 46.7, 120, 66.7, 93.3, 26.7, 0.6
789, optimal, 73.3, 2, 6.7, 86.7, 86.7, 0.6
790, optimal, 33.3, 2, 6.7, 80.0, 80.0, 0.6
791, optimal, 66.7, 1, 0.0, 93.3, 93.3, 0.5
792, optimal, 40.0, 24, 40.0, 100.0, 66.7, 0.4
793, optimal, 66.7, 16, 46.7, 80.0, 53.3, 0.5
794, optimal, 46.7, 8, 20.0, 66.7, 46.7, 0.5
795, optimal, 60.0, 12, 26.7, 100.0, 73.3, 0.5
796, optimal, 66.7, 6, 20.0, 93.3, 80.0, 0.5
797, optimal, 46.7, 14, 46.7, 86.7, 60.0, 0.7
798, optimal, 20.0, 8, 20.0, 73.3, 60.0, 0.7
799, optimal, 40.0, 19, 60.0, 86.7, 60.0, 0.5
800, optimal, 53.3, 4, 20.0, 53.3, 46.7, 0.6
801, optimal, 93.3, 6, 20.0, 100.0, 86.7, 0.4
802, optimal, 60.0, 5, 20.0, 93.3, 80.0, 0.5
803, optimal, 66.7, 5, 33.3, 100.0, 73.3, 0.6
804, optimal, 33.3, 4, 13.3, 46.7, 40.0, 0.4
805, optimal, 53.3, 4, 33.3, 66.7, 53.3, 0.5
806, optimal, 40.0, 16, 100.0, 60.0, 26.7, 0.5
807, optimal, 60.0, 2, 6.7, 93.3, 93.3, 0.5
